County_FIPS,Customers
39091,19532
39093,106179
39095,215018
39097,26880
39099,150783
39101,40643
39103,50150
39105,13485
39107,18878
39109,43362
39111,8974
39113,295834
39115,8383
39117,24221
39119,62329
39121,10204
39123,21110
39125,7079
39127,22023
39129,35905
39131,10100
39133,92468
39135,20004
39137,8912
39139,84801
39141,52738
39143,35768
39145,50476
39147,35754
39149,12431
39151,251263
39153,127123
39155,76066
39157,54074
39159,30359
39161,8328
39163,7721
39165,115421
39167,42825
39169,81074
39171,16123
39173,71069
39175,14215
40001,20802
40003,3414
40005,7913
40007,4214
40009,12818
40011,4266
40013,29723
40015,13540
40017,84800
40019,29805
40021,27388
40023,9444
40025,955
40027,151488
40029,3441
40031,57333
40033,2361
40035,4771
40037,42957
40039,15341
40041,23694
40043,2623
40045,2488
40047,36837
40049,21000
40051,24938
40053,2353
40055,3967
40057,1471
40059,2061
40061,7700
40063,7178
40065,18518
40067,2420
40069,7045
40071,37106
40073,6608
40075,4175
40077,5639
40079,29891
40081,16933
40083,22067
40085,5901
40087,22625
40089,21045
40091,11478
40093,3939
40095,8746
40097,16598
40099,10124
40101,27528
40103,5689
40105,2678
40107,5763
40109,350091
40111,20998
40113,21643
40115,19735
40117,7517
40119,62306
40121,26412
40123,28570
40125,40444
40127,6938
40129,1929
40131,49307
40133,13650
40135,33532
40137,25647
40139,19876
40141,3295
40143,307617
40145,29778
40147,16408
40149,5262
40151,5498
40153,14432
41001,10098
41003,48456
41005,183590
41007,23302
41009,28312
41011,40670
41013,9093
41015,16670
41017,141071
41019,66051
41021,1640
41023,4648
41025,5605
41027,7230
41029,125318
41031,16006
41033,48987
41035,39614
41037,4992
41039,174263
41041,31577
41043,70430
41045,18164
41047,102062
41049,10888
41051,388772
41053,31803
41055,1404
41057,21190
41059,43275
41061,15625
41063,4079
41065,13368
41067,268603
41069,1793
41071,47922
42001,34102
42003,667166
42005,31334
42007,77618
42009,26999
42011,219087
42013,69598
42015,31486
42017,152767
42019,91173
42021,66666
42023,2519
42025,32206
42027,96428
42029,267257
42031,17178
42033,38762
42035,20055
42037,35125
42039,38952
42041,142576
42043,176757
42045,277130
42047,16981
42049,164700
42051,66012
42053,3447
42055,76806
42057,7267
42059,18544
42061,20889
42063,36452
42065,20070
42067,11162
42069,119979
42071,156892
42073,36062
42075,69525
42077,212008
42079,164504
42081,62884
42083,23946
42085,48402
42087,26457
